Outcome,Model,Dataset,Precision,Recall
Social,zNoGreenspace,NewYork,0.83,0.47
Exercise,zNoGreenspace,Dev,0.82,0.72
Stress,zNoGreenspace,Dev,0.8,0.26
Aesthetic,zNoGreenspace,NewYork,0.8,0.65
Social,zNoGreenspace,Dev,0.79,0.6
Air,zNoGreenspace,Dev,0.79,0.5
Stress,zNoGreenspace,NewYork,0.79,0.27
Stress,zNoGreenspace,Test,0.78,0.27
Exercise,zNoGreenspace,Test,0.77,0.7
Exercise,zNoGreenspace,NewYork,0.77,0.66
Social,zNoGreenspace,Test,0.73,0.58
Air,zNoGreenspace,Test,0.68,0.45
Air,zNoGreenspace,NewYork,0.54,0.7
Air,Whole,Training,0.95,0.66
Exercise,Whole,Training,0.92,0.82
Air,Whole,Dev,0.92,0.52
Aesthetic,Whole,NewYork,0.92,0.71
Greenspace,Whole,Training,0.89,0.91
Social,Whole,NewYork,0.89,0.5
Stress,Whole,NewYork,0.89,0.39
Safety,Whole,Test,0.88,0.76
Aesthetic,Whole,Test,0.87,0.69
Stress,Whole,Test,0.87,0.39
Aesthetic,Whole,Training,0.86,0.8
Stress,Whole,Training,0.86,0.33
Greenspace,Whole,Dev,0.86,0.88
Safety,Whole,NewYork,0.86,0.47
Greenspace,Whole,Test,0.85,0.89
Safety,Whole,Dev,0.83,0.72
Social,Whole,Dev,0.83,0.6
Social,Whole,Test,0.83,0.62
Greenspace,Whole,NewYork,0.83,0.81
Safety,Whole,Training,0.82,0.78
Aesthetic,Whole,Dev,0.82,0.73
Exercise,Whole,Test,0.82,0.73
Social,Whole,Training,0.81,0.72
Exercise,Whole,Dev,0.81,0.72
Exercise,Whole,NewYork,0.8,0.62
Stress,Whole,Dev,0.77,0.37
Air,Whole,Test,0.77,0.45
Air,Whole,NewYork,0.58,0.7
